age_group,slot,time_label,zone,pitch_name,pitch_id,team1,team2
U13,14,Thu 19:45,JP2,Pitch 8,JP2.4,HOLLAND,BRAZIL
U14,14,Thu 19:45,JP3,Pitch 9,JP3.1,HOLLAND,BRAZIL
U15,14,Thu 19:45,JP3,Pitch 10,JP3.2,HOLLAND,BRAZIL
U16,14,Thu 19:45,JP3,Pitch 11,JP3.3,HOLLAND,BRAZIL
U17,14,Thu 19:45,JP4,Pitch 12,JP4.1,SPAIN,HOLLAND
U17,14,Thu 19:45,JP4,Pitch 13,JP4.2,ITALY,BRAZIL
U17,14,Thu 19:45,JP4,Pitch 14,JP4.3,IRELAND,FRANCE
U6,15,Thu 20:00,JP1,Pitch 1,JP1.1,GERMANY,SPAIN
U7,15,Thu 20:00,JP1,Pitch 2,JP1.2,GERMANY,SPAIN
U8,15,Thu 20:00,JP1,Pitch 3,JP1.3,GERMANY,SPAIN
U9,15,Thu 20:00,JP1,Pitch 4,JP1.4,GERMANY,SPAIN
U10,15,Thu 20:00,JP2,Pitch 5,JP2.1,GERMANY,SPAIN
U11,15,Thu 20:00,JP2,Pitch 6,JP2.2,GERMANY,SPAIN
U12,15,Thu 20:00,JP2,Pitch 7,JP2.3,GERMANY,SPAIN
U13,15,Thu 20:00,JP2,Pitch 8,JP2.4,GERMANY,SPAIN
U14,15,Thu 20:00,JP3,Pitch 9,JP3.1,GERMANY,SPAIN
U15,15,Thu 20:00,JP3,Pitch 10,JP3.2,GERMANY,SPAIN
U16,15,Thu 20:00,JP3,Pitch 11,JP3.3,GERMANY,SPAIN
U17,15,Thu 20:00,JP4,Pitch 12,JP4.1,ARGENTINA,PORTUGAL
U17,15,Thu 20:00,JP4,Pitch 13,JP4.2,ENGLAND,GERMANY
U17,15,Thu 20:00,JP4,Pitch 14,JP4.3,ITALY,SPAIN
